"Source URL","Proposed Destination","Current Status","Semantic Equivalence","Inbound Links","Sitemap Status","Action Decided","Reason for Action"
"/allen-tx-zultys-phone-systems","/allen-tx-zultys-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /allen-tx-zultys-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/arlington-tx-zultys-phone-systems","/arlington-ip-pbx","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /arlington-ip-pbx","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/balch-springs-tx-zultys-phone-systems","/balch-springs-tx-zultys-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /balch-springs-tx-zultys-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/bedford-tx-zultys-phone-systems","/bedford-zultys-solutions","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /bedford-zultys-solutions","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/benbrook-tx-zultys-phone-systems","/benbrook-phone-systems","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /benbrook-phone-systems","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/carrollton-tx-zultys-phone-systems","/carrollton-zultys","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /carrollton-zultys","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/cedar-hill-tx-zultys-phone-systems","/cedar-hill-tx-zultys-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /cedar-hill-tx-zultys-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/colleyville-tx-zultys-phone-systems","/colleyville-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /colleyville-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/dallas-tx-zultys-phone-systems","/dallas-zultys-phones","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /dallas-zultys-phones","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/denton-tx-zultys-phone-systems","/denton-business-phone-systems","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /denton-business-phone-systems","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/duncanville-tx-zultys-phone-systems","/duncanville-tx-zultys-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /duncanville-tx-zultys-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/euless-tx-zultys-phone-systems","/euless-business-phones","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /euless-business-phones","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/flower-mound-tx-zultys-phone-systems","/flower-mound-business-phones","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /flower-mound-business-phones","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/fort-worth-tx-zultys-phone-systems","/fort-worth-zultys-systems","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /fort-worth-zultys-systems","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/frisco-tx-zultys-phone-systems","/frisco-voip-solutions","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /frisco-voip-solutions","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/garland-tx-zultys-phone-systems","/garland-business-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /garland-business-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/grand-prairie-tx-zultys-phone-systems","/grand-prairie-zultys","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /grand-prairie-zultys","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/grapevine-tx-zultys-phone-systems","/grapevine-business-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /grapevine-business-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/haltom-city-tx-zultys-phone-systems","/haltom-city-zultys","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /haltom-city-zultys","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/hurst-tx-zultys-phone-systems","/hurst-ip-pbx","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /hurst-ip-pbx","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/irving-tx-zultys-phone-systems","/irving-business-phone-systems","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /irving-business-phone-systems","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/keller-tx-zultys-phone-systems","/keller-zultys-dealer","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /keller-zultys-dealer","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/lancaster-tx-zultys-phone-systems","/lancaster-tx-zultys-dealer","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /lancaster-tx-zultys-dealer","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/lewisville-tx-zultys-phone-systems","/lewisville-voip-solutions","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /lewisville-voip-solutions","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/mckinney-tx-zultys-phone-systems","/mckinney-zultys-dealer","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /mckinney-zultys-dealer","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/mesquite-tx-zultys-phone-systems","/mesquite-zultys-phone-systems","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /mesquite-zultys-phone-systems","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/murphy-tx-zultys-phone-systems","/murphy-tx-zultys-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /murphy-tx-zultys-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/north-richland-hills-tx-zultys-phone-systems","/north-richland-hills-zultys","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /north-richland-hills-zultys","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/plano-tx-zultys-phone-systems","/plano-zultys-dealer","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /plano-zultys-dealer","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/richardson-tx-zultys-phone-systems","/richardson-phone-systems","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /richardson-phone-systems","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/river-oaks-tx-zultys-phone-systems","/river-oaks-zultys","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /river-oaks-zultys","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/rowlett-tx-zultys-phone-systems","/rowlett-tx-zultys-dealer","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /rowlett-tx-zultys-dealer","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/sachse-tx-zultys-phone-systems","/sachse-tx-zultys-dealer","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /sachse-tx-zultys-dealer","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/saginaw-tx-zultys-phone-systems","/saginaw-business-communications","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /saginaw-business-communications","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/southlake-tx-zultys-phone-systems","/southlake-ip-phones","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /southlake-ip-phones","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/the-colony-tx-zultys-phone-systems","/the-colony-tx-zultys-voip","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /the-colony-tx-zultys-voip","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/watauga-tx-zultys-phone-systems","/watauga-voip-solutions","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /watauga-voip-solutions","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
"/westworth-village-tx-zultys-phone-systems","/westworth-village-zultys","404 Not Found (Rejected by spa-404 edge function)","Exact 1:1 city match. The valid canonical city page is /westworth-village-zultys","Included in legacy sitemap.xml, crawled by GSC & Ahrefs","Remove from sitemap.xml immediately","301 Permanent Redirect (One-Hop)","Direct semantic replacement exists. Redirect resolves 404 error and preserves organic crawl equity."
