"URL","Current Status (Live/404/Redirect/Canonical)","Target Canonical URL","Sitemap Inclusion (Yes/No)","Action (Keep/Update/301 Redirect/Remove from Sitemap/Prerender Content)","H1 Tag","Target Word Count","Primary Keyword","Schema Types Needed","Notes"
"/allen-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/allen-tx-zultys-voip","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","allen zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/arlington-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/arlington-ip-pbx","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","arlington zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/balch-springs-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/balch-springs-tx-zultys-voip","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","balch springs zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/bedford-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/bedford-zultys-solutions","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","bedford zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/benbrook-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/benbrook-phone-systems","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","benbrook zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/carrollton-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/carrollton-zultys","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","carrollton zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/cedar-hill-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/cedar-hill-tx-zultys-voip","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","cedar hill zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/colleyville-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/colleyville-voip","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","colleyville zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/dallas-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/dallas-zultys-phones","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","dallas zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
"/denton-tx-zultys-phone-systems","404 Not Found (Phantom Sitemap URL)","/denton-business-phone-systems","No (Remove)","Remove from Sitemap / Add 301 Redirect","N/A (Redirect)","0","denton zultys phone systems","None","Legacy phantom URL generated by sitemap generator. Cause of Ahrefs 404 & GSC 404."
